num_facture,tiers,montant_ttc,date_echeance,type,reste_a_letrer
F-23136,F-23136 - CCOLMCTG ,5000.0,,vente,33318.25
F-23143,F-23143 - LOTUSB ,19930.0,,vente,19930.0
